year,sex,hospitalizations,population,crude_rate,asr
2019,Female,13255,9683077.0,136.89,72.5
2019,Male,10219,9424139.0,108.43,87.11
2020,Female,10322,9859209.0,104.69,54.73
2020,Male,8651,9599101.0,90.12,70.66
2021,Female,10785,9969851.0,108.18,55.69
2021,Male,8576,9708512.0,88.33,67.29
2022,Female,12572,10045585.0,125.15,62.1
2022,Male,10170,9782978.0,103.96,76.34
2023,Female,14085,10112423.0,139.28,67.85
2023,Male,11298,9848466.0,114.72,81.62
2024,Female,15985,10175877.0,157.09,74.04
2024,Male,12819,9910500.0,129.35,88.46
