year,age_group,sex,icd_code,hospitalizations
2019,0-4,Female,G30,2
2019,0-4,Female,G31,22
2019,0-4,Male,F06.7,1
2019,0-4,Male,G20,1
2019,0-4,Male,G31,25
2019,0-4,Male,G32,1
2019,10-14,Female,F06.7,11
2019,10-14,Female,G31,8
2019,10-14,Male,F06.7,17
2019,10-14,Male,G30,1
2019,10-14,Male,G31,10
2019,15-19,Female,F06.7,12
2019,15-19,Female,G20,2
2019,15-19,Female,G30,1
2019,15-19,Female,G31,1
2019,15-19,Male,F01,1
2019,15-19,Male,F03,1
2019,15-19,Male,F06.7,23
2019,15-19,Male,G30,1
2019,15-19,Male,G31,8
2019,20-24,Female,F03,4
2019,20-24,Female,F04,1
2019,20-24,Female,F06.7,7
2019,20-24,Female,G20,1
2019,20-24,Female,G31,4
2019,20-24,Male,F03,1
2019,20-24,Male,F06.7,9
2019,20-24,Male,G20,4
2019,20-24,Male,G31,4
2019,25-29,Female,F00,1
2019,25-29,Female,F03,1
2019,25-29,Female,F06.7,9
2019,25-29,Female,G20,1
2019,25-29,Female,G30,2
2019,25-29,Female,G31,7
2019,25-29,Female,G32,1
2019,25-29,Male,F03,1
2019,25-29,Male,F06.7,7
2019,25-29,Male,G20,2
2019,25-29,Male,G31,3
2019,25-29,Male,G32,2
2019,30-34,Female,F06.7,7
2019,30-34,Female,G20,4
2019,30-34,Female,G30,1
2019,30-34,Female,G31,1
2019,30-34,Male,F06.7,6
2019,30-34,Male,G30,2
2019,30-34,Male,G31,9
2019,30-34,Male,G32,1
2019,35-39,Female,F01,1
2019,35-39,Female,F03,2
2019,35-39,Female,F06.7,11
2019,35-39,Female,G20,3
2019,35-39,Female,G31,5
2019,35-39,Female,G32,1
2019,35-39,Male,F03,3
2019,35-39,Male,F06.7,10
2019,35-39,Male,G20,1
2019,35-39,Male,G31,13
2019,35-39,Male,G32,2
2019,40-44,Female,F03,5
2019,40-44,Female,F06.7,8
2019,40-44,Female,G20,7
2019,40-44,Female,G30,1
2019,40-44,Female,G31,9
2019,40-44,Male,F02,1
2019,40-44,Male,F03,2
2019,40-44,Male,F06.7,3
2019,40-44,Male,G20,9
2019,40-44,Male,G31,17
2019,40-44,Male,G32,6
2019,45-49,Female,F03,9
2019,45-49,Female,F06.7,7
2019,45-49,Female,G20,12
2019,45-49,Female,G30,3
2019,45-49,Female,G31,11
2019,45-49,Male,F01,4
2019,45-49,Male,F02,1
2019,45-49,Male,F03,9
2019,45-49,Male,F06.7,12
2019,45-49,Male,G20,25
2019,45-49,Male,G30,1
2019,45-49,Male,G31,28
2019,45-49,Male,G32,4
2019,5-9,Female,F06.7,3
2019,5-9,Female,G31,8
2019,5-9,Male,F06.7,5
2019,5-9,Male,G20,1
2019,5-9,Male,G31,16
2019,50-54,Female,F00,2
2019,50-54,Female,F01,3
2019,50-54,Female,F02,1
2019,50-54,Female,F03,14
2019,50-54,Female,F06.7,23
2019,50-54,Female,G20,39
2019,50-54,Female,G30,3
2019,50-54,Female,G31,16
2019,50-54,Female,G32,1
2019,50-54,Male,F00,1
2019,50-54,Male,F01,8
2019,50-54,Male,F03,23
2019,50-54,Male,F06.7,8
2019,50-54,Male,G20,40
2019,50-54,Male,G30,3
2019,50-54,Male,G31,44
2019,50-54,Male,G32,7
2019,55-59,Female,F00,10
2019,55-59,Female,F01,6
2019,55-59,Female,F03,44
2019,55-59,Female,F06.7,12
2019,55-59,Female,G20,59
2019,55-59,Female,G30,16
2019,55-59,Female,G31,26
2019,55-59,Female,G32,1
2019,55-59,Male,F00,3
2019,55-59,Male,F01,19
2019,55-59,Male,F02,1
2019,55-59,Male,F03,28
2019,55-59,Male,F06.7,12
2019,55-59,Male,G20,94
2019,55-59,Male,G30,9
2019,55-59,Male,G31,78
2019,55-59,Male,G32,11
2019,60-64,Female,F00,12
2019,60-64,Female,F01,17
2019,60-64,Female,F02,2
2019,60-64,Female,F03,62
2019,60-64,Female,F06.7,14
2019,60-64,Female,G20,122
2019,60-64,Female,G30,44
2019,60-64,Female,G31,31
2019,60-64,Female,G32,6
2019,60-64,Male,F00,9
2019,60-64,Male,F01,40
2019,60-64,Male,F03,70
2019,60-64,Male,F04,1
2019,60-64,Male,F06.7,20
2019,60-64,Male,G20,179
2019,60-64,Male,G30,48
2019,60-64,Male,G31,70
2019,60-64,Male,G32,7
2019,65-69,Female,F00,24
2019,65-69,Female,F01,20
2019,65-69,Female,F02,2
2019,65-69,Female,F03,103
2019,65-69,Female,F06.7,12
2019,65-69,Female,G20,263
2019,65-69,Female,G30,97
2019,65-69,Female,G31,45
2019,65-69,Male,F00,28
2019,65-69,Male,F01,67
2019,65-69,Male,F02,6
2019,65-69,Male,F03,135
2019,65-69,Male,F06.7,23
2019,65-69,Male,G20,297
2019,65-69,Male,G30,98
2019,65-69,Male,G31,87
2019,65-69,Male,G32,8
2019,70-74,Female,F00,82
2019,70-74,Female,F01,53
2019,70-74,Female,F02,6
2019,70-74,Female,F03,303
2019,70-74,Female,F04,1
2019,70-74,Female,F06.7,21
2019,70-74,Female,G20,384
2019,70-74,Female,G30,330
2019,70-74,Female,G31,47
2019,70-74,Female,G32,3
2019,70-74,Male,F00,56
2019,70-74,Male,F01,108
2019,70-74,Male,F02,12
2019,70-74,Male,F03,271
2019,70-74,Male,F06.7,28
2019,70-74,Male,G20,490
2019,70-74,Male,G30,203
2019,70-74,Male,G31,64
2019,70-74,Male,G32,11
2019,75-79,Female,F00,161
2019,75-79,Female,F01,110
2019,75-79,Female,F02,15
2019,75-79,Female,F03,488
2019,75-79,Female,F06.7,38
2019,75-79,Female,G20,498
2019,75-79,Female,G30,622
2019,75-79,Female,G31,31
2019,75-79,Female,G32,3
2019,75-79,Male,F00,119
2019,75-79,Male,F01,152
2019,75-79,Male,F02,21
2019,75-79,Male,F03,484
2019,75-79,Male,F04,1
2019,75-79,Male,F06.7,38
2019,75-79,Male,G20,708
2019,75-79,Male,G30,462
2019,75-79,Male,G31,62
2019,75-79,Male,G32,6
2019,80+,Female,F00,882
2019,80+,Female,F01,361
2019,80+,Female,F02,40
2019,80+,Female,F03,2894
2019,80+,Female,F06.7,146
2019,80+,Female,G20,1088
2019,80+,Female,G30,3115
2019,80+,Female,G31,163
2019,80+,Female,G32,1
2019,80+,Male,F00,394
2019,80+,Male,F01,261
2019,80+,Male,F02,44
2019,80+,Male,F03,1576
2019,80+,Male,F04,1
2019,80+,Male,F06.7,80
2019,80+,Male,G20,1137
2019,80+,Male,G30,1383
2019,80+,Male,G31,151
2020,0-4,Female,G30,1
2020,0-4,Female,G31,11
2020,0-4,Male,G31,21
2020,0-4,Male,G32,1
2020,10-14,Female,F06.7,1
2020,10-14,Female,G31,6
2020,10-14,Male,F06.7,7
2020,10-14,Male,G31,3
2020,15-19,Female,F06.7,8
2020,15-19,Female,G20,1
2020,15-19,Female,G31,3
2020,15-19,Male,F06.7,14
2020,15-19,Male,G31,5
2020,20-24,Female,F06.7,11
2020,20-24,Female,G30,1
2020,20-24,Female,G31,5
2020,20-24,Female,G32,1
2020,20-24,Male,F01,1
2020,20-24,Male,F06.7,6
2020,20-24,Male,G20,1
2020,20-24,Male,G31,2
2020,25-29,Female,F06.7,6
2020,25-29,Female,G20,2
2020,25-29,Female,G31,2
2020,25-29,Female,G32,2
2020,25-29,Male,F01,1
2020,25-29,Male,F03,2
2020,25-29,Male,F06.7,10
2020,25-29,Male,G20,1
2020,25-29,Male,G31,3
2020,25-29,Male,G32,1
2020,30-34,Female,F01,1
2020,30-34,Female,F03,5
2020,30-34,Female,F06.7,7
2020,30-34,Female,G30,1
2020,30-34,Female,G31,3
2020,30-34,Female,G32,1
2020,30-34,Male,F03,3
2020,30-34,Male,F06.7,14
2020,30-34,Male,G20,1
2020,30-34,Male,G31,6
2020,30-34,Male,G32,4
2020,35-39,Female,F06.7,5
2020,35-39,Female,G20,2
2020,35-39,Female,G31,2
2020,35-39,Female,G32,2
2020,35-39,Male,F03,1
2020,35-39,Male,F06.7,9
2020,35-39,Male,G31,14
2020,35-39,Male,G32,5
2020,40-44,Female,F01,1
2020,40-44,Female,F03,3
2020,40-44,Female,F04,1
2020,40-44,Female,F06.7,11
2020,40-44,Female,G20,3
2020,40-44,Female,G31,13
2020,40-44,Female,G32,3
2020,40-44,Male,F03,3
2020,40-44,Male,F06.7,6
2020,40-44,Male,G20,5
2020,40-44,Male,G31,18
2020,40-44,Male,G32,4
2020,45-49,Female,F01,1
2020,45-49,Female,F03,4
2020,45-49,Female,F06.7,9
2020,45-49,Female,G20,9
2020,45-49,Female,G31,10
2020,45-49,Female,G32,1
2020,45-49,Male,F01,3
2020,45-49,Male,F03,11
2020,45-49,Male,F06.7,5
2020,45-49,Male,G20,16
2020,45-49,Male,G31,40
2020,45-49,Male,G32,7
2020,5-9,Female,F06.7,1
2020,5-9,Female,G31,7
2020,5-9,Male,F06.7,3
2020,5-9,Male,G31,3
2020,50-54,Female,F00,2
2020,50-54,Female,F02,1
2020,50-54,Female,F03,14
2020,50-54,Female,F06.7,11
2020,50-54,Female,G20,22
2020,50-54,Female,G30,4
2020,50-54,Female,G31,7
2020,50-54,Female,G32,3
2020,50-54,Male,F01,6
2020,50-54,Male,F03,17
2020,50-54,Male,F04,1
2020,50-54,Male,F06.7,15
2020,50-54,Male,G20,33
2020,50-54,Male,G30,2
2020,50-54,Male,G31,48
2020,50-54,Male,G32,16
2020,55-59,Female,F00,1
2020,55-59,Female,F01,7
2020,55-59,Female,F02,1
2020,55-59,Female,F03,45
2020,55-59,Female,F06.7,20
2020,55-59,Female,G20,48
2020,55-59,Female,G30,15
2020,55-59,Female,G31,32
2020,55-59,Female,G32,2
2020,55-59,Male,F00,2
2020,55-59,Male,F01,16
2020,55-59,Male,F02,1
2020,55-59,Male,F03,34
2020,55-59,Male,F06.7,24
2020,55-59,Male,G20,85
2020,55-59,Male,G30,6
2020,55-59,Male,G31,78
2020,55-59,Male,G32,20
2020,60-64,Female,F00,3
2020,60-64,Female,F01,19
2020,60-64,Female,F02,2
2020,60-64,Female,F03,63
2020,60-64,Female,F06.7,13
2020,60-64,Female,G20,88
2020,60-64,Female,G30,29
2020,60-64,Female,G31,19
2020,60-64,Female,G32,1
2020,60-64,Male,F00,10
2020,60-64,Male,F01,33
2020,60-64,Male,F02,1
2020,60-64,Male,F03,77
2020,60-64,Male,F04,3
2020,60-64,Male,F06.7,12
2020,60-64,Male,G20,137
2020,60-64,Male,G30,35
2020,60-64,Male,G31,76
2020,60-64,Male,G32,14
2020,65-69,Female,F00,28
2020,65-69,Female,F01,37
2020,65-69,Female,F02,4
2020,65-69,Female,F03,126
2020,65-69,Female,F04,1
2020,65-69,Female,F06.7,18
2020,65-69,Female,G20,175
2020,65-69,Female,G30,92
2020,65-69,Female,G31,19
2020,65-69,Female,G32,3
2020,65-69,Male,F00,22
2020,65-69,Male,F01,58
2020,65-69,Male,F02,4
2020,65-69,Male,F03,130
2020,65-69,Male,F04,1
2020,65-69,Male,F06.7,15
2020,65-69,Male,G20,247
2020,65-69,Male,G30,95
2020,65-69,Male,G31,70
2020,65-69,Male,G32,7
2020,70-74,Female,F00,70
2020,70-74,Female,F01,57
2020,70-74,Female,F02,6
2020,70-74,Female,F03,248
2020,70-74,Female,F04,1
2020,70-74,Female,F06.7,30
2020,70-74,Female,G20,267
2020,70-74,Female,G30,245
2020,70-74,Female,G31,34
2020,70-74,Female,G32,1
2020,70-74,Male,F00,58
2020,70-74,Male,F01,90
2020,70-74,Male,F02,10
2020,70-74,Male,F03,251
2020,70-74,Male,F04,1
2020,70-74,Male,F06.7,35
2020,70-74,Male,G20,355
2020,70-74,Male,G30,185
2020,70-74,Male,G31,53
2020,70-74,Male,G32,11
2020,75-79,Female,F00,135
2020,75-79,Female,F01,87
2020,75-79,Female,F02,12
2020,75-79,Female,F03,406
2020,75-79,Female,F06.7,34
2020,75-79,Female,G20,350
2020,75-79,Female,G30,508
2020,75-79,Female,G31,35
2020,75-79,Female,G32,4
2020,75-79,Male,F00,103
2020,75-79,Male,F01,145
2020,75-79,Male,F02,14
2020,75-79,Male,F03,484
2020,75-79,Male,F04,1
2020,75-79,Male,F06.7,43
2020,75-79,Male,G20,537
2020,75-79,Male,G30,361
2020,75-79,Male,G31,47
2020,75-79,Male,G32,5
2020,80+,Female,F00,683
2020,80+,Female,F01,294
2020,80+,Female,F02,24
2020,80+,Female,F03,2396
2020,80+,Female,F04,4
2020,80+,Female,F06.7,117
2020,80+,Female,G20,787
2020,80+,Female,G30,2260
2020,80+,Female,G31,85
2020,80+,Male,F00,354
2020,80+,Male,F01,260
2020,80+,Male,F02,25
2020,80+,Male,F03,1346
2020,80+,Male,F06.7,88
2020,80+,Male,G20,826
2020,80+,Male,G30,1138
2020,80+,Male,G31,110
2020,80+,Male,G32,4
2021,0-4,Female,G31,16
2021,0-4,Male,F01,1
2021,0-4,Male,F06.7,1
2021,0-4,Male,G30,1
2021,0-4,Male,G31,17
2021,0-4,Male,G32,2
2021,10-14,Female,F06.7,5
2021,10-14,Female,G31,8
2021,10-14,Male,F06.7,9
2021,10-14,Male,G31,14
2021,15-19,Female,F03,1
2021,15-19,Female,F06.7,6
2021,15-19,Female,G20,2
2021,15-19,Female,G31,4
2021,15-19,Male,F03,2
2021,15-19,Male,F06.7,6
2021,15-19,Male,G20,1
2021,15-19,Male,G31,5
2021,15-19,Male,G32,2
2021,20-24,Female,F03,1
2021,20-24,Female,F06.7,7
2021,20-24,Female,G20,2
2021,20-24,Male,F03,3
2021,20-24,Male,F06.7,4
2021,20-24,Male,G20,1
2021,20-24,Male,G31,1
2021,25-29,Female,F01,1
2021,25-29,Female,F06.7,10
2021,25-29,Female,G20,1
2021,25-29,Female,G31,4
2021,25-29,Female,G32,2
2021,25-29,Male,F03,2
2021,25-29,Male,F06.7,6
2021,25-29,Male,G20,3
2021,25-29,Male,G30,1
2021,25-29,Male,G31,1
2021,25-29,Male,G32,2
2021,30-34,Female,F03,1
2021,30-34,Female,F06.7,10
2021,30-34,Female,G20,4
2021,30-34,Female,G31,3
2021,30-34,Female,G32,2
2021,30-34,Male,F06.7,10
2021,30-34,Male,G20,2
2021,30-34,Male,G31,4
2021,30-34,Male,G32,5
2021,35-39,Female,F03,2
2021,35-39,Female,F06.7,3
2021,35-39,Female,G20,1
2021,35-39,Female,G31,5
2021,35-39,Female,G32,3
2021,35-39,Male,F03,3
2021,35-39,Male,F06.7,8
2021,35-39,Male,G20,3
2021,35-39,Male,G31,10
2021,35-39,Male,G32,4
2021,40-44,Female,F01,2
2021,40-44,Female,F03,2
2021,40-44,Female,F06.7,6
2021,40-44,Female,G20,2
2021,40-44,Female,G31,6
2021,40-44,Female,G32,3
2021,40-44,Male,F03,1
2021,40-44,Male,F06.7,11
2021,40-44,Male,G20,7
2021,40-44,Male,G31,18
2021,40-44,Male,G32,5
2021,45-49,Female,F03,12
2021,45-49,Female,F06.7,12
2021,45-49,Female,G20,12
2021,45-49,Female,G30,1
2021,45-49,Female,G31,10
2021,45-49,Female,G32,3
2021,45-49,Male,F01,3
2021,45-49,Male,F02,1
2021,45-49,Male,F03,5
2021,45-49,Male,F06.7,7
2021,45-49,Male,G20,24
2021,45-49,Male,G30,1
2021,45-49,Male,G31,37
2021,45-49,Male,G32,17
2021,5-9,Female,F06.7,2
2021,5-9,Female,G31,9
2021,5-9,Male,F06.7,2
2021,5-9,Male,G31,2
2021,50-54,Female,F00,1
