region,year,age_group,sex,population
Antofagasta,2019,0-4,Female,23129.0
Antofagasta,2019,0-4,Male,24148.0
Antofagasta,2019,10-14,Female,22841.0
Antofagasta,2019,10-14,Male,23898.0
Antofagasta,2019,15-19,Female,22763.0
Antofagasta,2019,15-19,Male,23979.0
Antofagasta,2019,20-24,Female,28040.0
Antofagasta,2019,20-24,Male,28704.0
Antofagasta,2019,25-29,Female,31636.0
Antofagasta,2019,25-29,Male,32559.0
Antofagasta,2019,30-34,Female,28678.0
Antofagasta,2019,30-34,Male,29940.0
Antofagasta,2019,35-39,Female,25796.0
Antofagasta,2019,35-39,Male,27066.0
Antofagasta,2019,40-44,Female,24388.0
Antofagasta,2019,40-44,Male,25379.0
Antofagasta,2019,45-49,Female,21598.0
Antofagasta,2019,45-49,Male,22602.0
Antofagasta,2019,5-9,Female,24050.0
Antofagasta,2019,5-9,Male,25216.0
Antofagasta,2019,50-54,Female,18192.0
Antofagasta,2019,50-54,Male,18983.0
Antofagasta,2019,55-59,Female,17165.0
Antofagasta,2019,55-59,Male,17300.0
Antofagasta,2019,60-64,Female,14158.0
Antofagasta,2019,60-64,Male,14050.0
Antofagasta,2019,65-69,Female,10889.0
Antofagasta,2019,65-69,Male,10286.0
Antofagasta,2019,70-74,Female,6942.0
Antofagasta,2019,70-74,Male,5714.0
Antofagasta,2019,75-79,Female,4782.0
Antofagasta,2019,75-79,Male,3340.0
Antofagasta,2019,80+,Female,6849.0
Antofagasta,2019,80+,Male,3503.0
Antofagasta,2020,0-4,Female,23004.0
Antofagasta,2020,0-4,Male,24114.0
Antofagasta,2020,10-14,Female,23800.0
Antofagasta,2020,10-14,Male,25058.0
Antofagasta,2020,15-19,Female,23003.0
Antofagasta,2020,15-19,Male,24379.0
Antofagasta,2020,20-24,Female,28758.0
Antofagasta,2020,20-24,Male,29399.0
Antofagasta,2020,25-29,Female,33238.0
Antofagasta,2020,25-29,Male,34078.0
Antofagasta,2020,30-34,Female,30825.0
Antofagasta,2020,30-34,Male,31909.0
Antofagasta,2020,35-39,Female,27133.0
Antofagasta,2020,35-39,Male,28250.0
Antofagasta,2020,40-44,Female,25173.0
Antofagasta,2020,40-44,Male,26053.0
Antofagasta,2020,45-49,Female,22860.0
Antofagasta,2020,45-49,Male,23754.0
Antofagasta,2020,5-9,Female,24443.0
Antofagasta,2020,5-9,Male,25761.0
Antofagasta,2020,50-54,Female,18667.0
Antofagasta,2020,50-54,Male,19463.0
Antofagasta,2020,55-59,Female,17532.0
Antofagasta,2020,55-59,Male,17692.0
Antofagasta,2020,60-64,Female,14465.0
Antofagasta,2020,60-64,Male,14304.0
Antofagasta,2020,65-69,Female,11517.0
Antofagasta,2020,65-69,Male,10893.0
Antofagasta,2020,70-74,Female,7315.0
Antofagasta,2020,70-74,Male,6104.0
Antofagasta,2020,75-79,Female,4905.0
Antofagasta,2020,75-79,Male,3429.0
Antofagasta,2020,80+,Female,7006.0
Antofagasta,2020,80+,Male,3570.0
Antofagasta,2021,0-4,Female,22952.0
Antofagasta,2021,0-4,Male,24067.0
Antofagasta,2021,10-14,Female,24322.0
Antofagasta,2021,10-14,Male,25697.0
Antofagasta,2021,15-19,Female,22839.0
Antofagasta,2021,15-19,Male,24344.0
Antofagasta,2021,20-24,Female,28277.0
Antofagasta,2021,20-24,Male,29017.0
Antofagasta,2021,25-29,Female,33642.0
Antofagasta,2021,25-29,Male,34426.0
Antofagasta,2021,30-34,Female,32309.0
Antofagasta,2021,30-34,Male,33258.0
Antofagasta,2021,35-39,Female,27969.0
Antofagasta,2021,35-39,Male,28970.0
Antofagasta,2021,40-44,Female,25646.0
Antofagasta,2021,40-44,Male,26477.0
Antofagasta,2021,45-49,Female,23739.0
Antofagasta,2021,45-49,Male,24522.0
Antofagasta,2021,5-9,Female,24295.0
Antofagasta,2021,5-9,Male,25681.0
Antofagasta,2021,50-54,Female,19233.0
Antofagasta,2021,50-54,Male,20015.0
Antofagasta,2021,55-59,Female,17634.0
Antofagasta,2021,55-59,Male,17851.0
Antofagasta,2021,60-64,Female,14826.0
Antofagasta,2021,60-64,Male,14605.0
Antofagasta,2021,65-69,Female,11953.0
Antofagasta,2021,65-69,Male,11350.0
Antofagasta,2021,70-74,Female,7846.0
Antofagasta,2021,70-74,Male,6610.0
